Feature,Importance,Std
water_cement_ratio,1.4997619065635146,0.1313436626098813
age,0.8899671763090277,0.06680438158605286
slag,0.517011431646053,0.05216844945835563
agg_ratio,0.5098503834824057,0.07643767567005148
coarse_aggregate,0.4491026579520838,0.04290676873616452
fine_aggregate,0.23599454329889627,0.02539054204001346
fly_ash,0.15296335900235505,0.02213317753134911
binder_total,0.1487558720966459,0.02459004084327479
cement,0.14764299335260328,0.011993549002831302
superplasticizer,0.07788577583353493,0.01939124824794175
water,0.07247967853652428,0.009822199110265196
